id,name,detail,date,stature,school
596,india190 Yadavaprakasha,"Vaishnava, theistic dualism-cum-nondualism",1000,Minor philosopher,"Vaishnava (Vishnu worship), Bhedabhedavada"
597,india191 brother-in-law of 192,,1000,Minor philosopher,
598,india192 Ramanuja's father,,1000,Minor philosopher,
599,india193 Hemachandra,"encyclopedic Jaina, poet, grammarian, logic +",1100,Minor philosopher,
600,india193a Shri Harsha's father,,1100,Minor philosopher,
601,india194 brother of 195,,1100,Minor philosopher,
602,india195 Meghanadari,"Ramanuja sect; refuted objections vs. self-validity of intuition, crit. Nyaya",1100,Minor philosopher,"Vishistadvaita, qualified nondualism"
603,india196 Aghorashiva,Shaiva dualist +,1100,Minor philosopher,
604,india197 Basava,Vira Shiva sect/phallic symbols; dualism-cum-nondualism +,1100,Minor philosopher,
605,india198 Revana,"Vira Shiva; crit. nihilistic monism, Jainism, Buddhism, & Lokayata +",1100,Minor philosopher,
606,india199 Upamaya,"voluntaristic Shaiva monism, crit. nihilistic monism +",1100,Minor philosopher,
607,india200 Someshvara,Mimamsa +,1100,Minor philosopher,
608,india201 Aparakadeva,Nyaya +,1100,Minor philosopher,
609,india202 Shrikantha,Nyaya +,1100,Minor philosopher,
610,india203 Vadaraja,"Nyaya, Kashmir? +",1100,Minor philosopher,
611,india204 Vallabha,"Nyaya-Vaisheshika, Mithila",1100,Minor philosopher,
612,india205 Shivaditya,Nyaya-Vaisheshika; mahavidya syllogisms combo. w Advaita,1100,Minor philosopher,Nyaya/Advaita
613,india206 Shri Rama Chandrabharati,only Buddhist bhakti poet; Shri Lanka +,1200,Minor philosopher,
614,india207 Mallisena,Jaina logic +,1200,Minor philosopher,
615,india208 Parthasarathi Mishra,Mimamsa crit. Dharmakirti logic +,1200,Minor philosopher,
616,india209 Vadindra,"Nyaya, refuted over-elaborate mahavidya syllogisms",1200,Minor philosopher,Nyaya-Vaisheshika
617,india210 Bhatta Raghava,Nyaya,1200,Minor philosopher,Nyaya-Vaisheshika
618,india211 Divikara,Nyaya Mithila,1200,Minor philosopher,
619,india212 Keshava Mishra,Nyaya-Vaisheshika Mithila,1200,Minor philosopher,
620,india213 Vadi Vagishvara,Nyaya +,1200,Minor philosopher,
621,india214 Narayana Sarvajna,Nyaya +,1200,Minor philosopher,
622,india215 Anandahubhava,Nyaya +,1200,Minor philosopher,
623,india216 Anandajiiana,"Advaita, crit. Vaisheshika atomism +",1200,Minor philosopher,
624,india217 Vimuktatman,"Advaita, crit. Mandana, dualism-cum-nondualism & Bhartrihari +",1200,Minor philosopher,
625,india218 Vatsya Varada,"Ramanuja theist, refuted Shriharsha world illusion +",1200,Minor philosopher,
626,india219 Pillai Lokacharya,led faction in Vaishnava split +,1200,Minor philosopher,Ramanuja sect
627,india220 Marua,Vira Shiva +,1200,Minor philosopher,
628,india221 Ekorama,same +,1200,Minor philosopher,
629,india222 Rajashekhara Suri,Jaina cm. 6 darshanas +,1300,Minor philosopher,
630,india223 Vidya Tilaka,same +,1300,Minor philosopher,
631,india224 Prabhakarapadya,Nyaya +,1300,Minor philosopher,
632,india224a Varhamana,"neo-Nyaya, Gangesha's son",1300,Minor philosopher,
633,india225 Abhayatilaka,"Nyaya, Mithila",1300,Minor philosopher,
634,india226 Sondadopadhyaya,Nyaya,1300,Minor philosopher,
635,india227 Manikantha Mishra Nyaya,,1300,Minor philosopher,
636,india228 Shashadhara,Nyaya,1300,Minor philosopher,
637,india229 Tarami Mishra,Nyaya +,1300,Minor philosopher,
638,india230 Jagadguru,Nyaya +,1300,Minor philosopher,
639,india231 Nyayabhaskarakara,Nyaya +,1300,Minor philosopher,
640,india232 Ravishvara,Nyaya +,1300,Minor philosopher,
641,india233 Ramadvaya,Advaita +,1300,Minor philosopher,
642,india234 Anandatman,,1300,Minor philosopher,
643,india235 Shankarananda,Upanishads cm.,1300,Minor philosopher,
644,india236 Madhavacharya,"or Vidyaranya; Advaita, Mimamsa cm.; compendium of all schools",1300,Minor philosopher,Advaita syncretist
645,india237 Sayana,"Mimamsa, cm. early Vedas; brother of 236",1300,Minor philosopher,Vedanta
646,india238 Anubhavananda,,1300,Minor philosopher,
647,india239 Amalananda,Advaita,1300,Minor philosopher,Advaita
648,india240 brother of 241,,1300,Minor philosopher,
649,india241 Shaila Shrinivasa,defended Ramanuja sect vs. Advaita crit,1300,Minor philosopher,Ramanuja sect
650,india242 Shripati Pandita,Vira Shiva sectarian; crit. all schools +,1300,Minor philosopher,
651,india243 Gunaratna Suri,"Jaina, cm. Haribhadra's 6 darshanas +",1400,Minor philosopher,
652,india244 Aniruddha,compiled Samkhyasutras +,1400,Minor philosopher,
653,india245 Sadananda Vyasa,"Advaita; cm. Samkhya, Gita +",1400,Minor philosopher,
654,india246 Shankara Mishra,neo-Nyaya,1400,Minor philosopher,
655,india246a Vacaspati Mishra II,neo-Nyaya,1400,Minor philosopher,
656,india247 Vasudevasarvabhauma,intro. neo-Nyaya to Bengal,1400,Minor philosopher,
657,india248 Madhava Mukunda,"Vishishtadvaita qualified non-dualism, crit. monism & world illusion +",1400,Minor philosopher,
658,india249 Bhavaganesha,cm. Samkhya,1500,Minor philosopher,
659,india250 Annambhatta,"Nyaya-Vaisheshika, cm. Advaita, Mimamsa",1500,Minor philosopher,
660,india251 Narayana Bhatta,Mimamsa theist,1500,Minor philosopher,
661,india252 Narayana Bhatta II,same; refuted Appaya Dikshita,1500,Minor philosopher,
662,india253 Langakshi Bhaskara,same,1500,Minor philosopher,
663,india254 Nrisimhashrama Muni,Advaita,1500,Minor philosopher,
664,india255 Jiva Gosvami,Chaitanya follower,1500,Minor philosopher,
665,x139,,-500,Minor philosopher,Confucian school
666,i139,,-400,Minor philosopher,
667,x144,,-400,Minor philosopher,
668,MENCIUS,,-400,Major philosopher,
669,Shen Tao,,-300,Secondary philosopher,
670,HSÜN TZU,,-300,Major philosopher,
671,Tien Pien,,-300,Secondary philosopher,
672,Yin Wen,,-300,Secondary philosopher,
673,KUNG-SUN LUNG,,-300,Major philosopher,
674,Li Ssu,,-300,Secondary philosopher,
675,Han Fei Tzu,,-300,Secondary philosopher,
676,TSOU YEN,,-300,Major philosopher,
677,HUI SHIH,,-400,Major philosopher,
678,CHUANG TZU,,-400,Major philosopher,
679,Kao Tzu,,-400,Secondary philosopher,
680,Sung Keng,,-400,Secondary philosopher,
681,x144-2,,-300,Minor philosopher,
682,x145,,-235,Minor philosopher,
683,TUNG CHUNG-SHU,,-200,Major philosopher,
684,Liu An,,-200,Secondary philosopher,
685,Ssu-ma T'an,,-100,Secondary philosopher,
686,Liu Hsiang,,-100,Secondary philosopher,"alchemist, immortality-seeker"
687,Liu Hsin,,1,Secondary philosopher,
688,Yang Hsiung,,1,Secondary philosopher,Confucian school
689,Huan T'an,,1,Secondary philosopher,"skeptic, anti-occult"
690,Wang Ch'ung,,1,Secondary philosopher,"skeptic, anti-occult"
691,Huai Nan Tzu Group,,-200,Secondary philosopher,anonymous text
692,Cheng Hsüan,,100,Secondary philosopher,Confucian school
693,Ho Yen,,200,Secondary philosopher,
694,Ko Hung,,300,Secondary philosopher,
695,WANG PI,,200,Major philosopher,
696,Hsiang Hsu,,200,Secondary philosopher,
697,Hsi K'ang,,200,Secondary philosopher,
698,KUO HSIANG,,300,Major philosopher,
699,i170,,200,Minor philosopher,
700,138,,300,Minor philosopher,
701,Yajñavalkya,,-800,Secondary philosopher,
702,Aruni,,-800,Secondary philosopher,
703,BUDDHA,,-600,Major philosopher,
704,MAHAVIRA,,-600,Major philosopher,
705,Makkhali Gosala,,-600,Secondary philosopher,
1315,x124,,200,Minor philosopher,
1316,x124-2,,300,Minor philosopher,Neoplatonic
800,CHIH-I,,500,Secondary philosopher,T'ien-t'ai
801,Silabhadra,,600,Secondary philosopher,India
802,HUI-NENG,,600,Major philosopher,Ch'an (Zen)
803,Hung-jen,,600,Secondary philosopher,Ch'an (Zen)
804,Shên-hsiu,,600,Secondary philosopher,Ch'an Northern School
805,Shen-Hui,,700,Secondary philosopher,Ch'an (Zen)
806,Chi-tsang,,500,Secondary philosopher,Madhyamika
807,FA-TSANG,,600,Major philosopher,Hua-yen
808,Saicho,,800,Non-philosopher,Japan
809,Kukai,,800,Non-philosopher,Japan
810,Ceylon,,700,Non-philosopher,
811,x62,,500,Minor philosopher,Taoist magician or church leader
812,x62-2,,500,Minor philosopher,
813,x62-3,,600,Minor philosopher,"Abhidharma, Yogacara"
814,x62-4,,700,Minor philosopher,
815,x62-5,,700,Minor philosopher,
816,x62-6,,700,Minor philosopher,tantrist (esoteric/magic B)
817,x62-7,,700,Minor philosopher,T'ien-t'ai
818,i62,,700,Minor philosopher,Pure Land (B faith-salvation)
819,i62-2,,700,Minor philosopher,
820,Tsung-mi,,800,Secondary philosopher,"Hua-yen, Ch'an (Zen)"
821,Ch'en Hsien-Chang,,1500,Secondary philosopher,
822,WANG YANG-MING,,1500,Major philosopher,
823,Wang Ken,,1500,Secondary philosopher,
824,Lo Ch'in-shun,,1500,Secondary philosopher,Neo-Confucian
825,Wang Chi,,1500,Secondary philosopher,Confucian/Ch'an
826,Ma-tsu,,700,Secondary philosopher,"Hua-yen, Ch'an (Zen)"
827,Huai-hai,,700,Secondary philosopher,"Hua-yen, Ch'an (Zen)"
828,Shih-t'ou,,700,Secondary philosopher,"Hua-yen, Ch'an (Zen)"
830,Tê-shan,,700,Secondary philosopher,Ch'an (Zen)
831,Huang Po,,800,Secondary philosopher,Ch'an (Zen)
832,LI PO,,700,Major philosopher,poet
833,Han Yü,,800,Secondary philosopher,Confucian school
834,Li Ao,,800,Secondary philosopher,Confucian school
835,Tung-shan,,800,Secondary philosopher,Ch'an Ts'ao-Tung sect
836,LIN-CHI,,800,Major non-philosopher,"Ch'an Lin-chi sect, Hua-yen"
837,Yün Chü,,800,Secondary philosopher,Ch'an Ts'ao-Tung sect
838,Yun-men,,900,Secondary philosopher,"Ch'an (Zen), Hua-yen"
839,i63,,700,Minor philosopher,
841,i63-3,,700,Minor philosopher,
842,x63,,800,Minor philosopher,Ch'an (Zen)
843,x63-2,,800,Minor philosopher,Buddhist
844,i63-4,,900,Minor philosopher,
845,i63-5,,935,Minor philosopher,Ch'an Ts'ao-Tung sect
846,i63-6,,935,Minor philosopher,
847,i63-7,,800,Minor philosopher,
848,i63-8,,800,Minor philosopher,Ch'an Lin-chi sect
849,i63-9,,935,Minor philosopher,Ch'an Lin-chi sect
850,i63-10,,935,Minor philosopher,Ch'an Lin-chi sect
851,i63-11,,700,Minor philosopher,
852,275a,,700,Minor philosopher,Ch'an (Zen)
853,Ch'en T'uan,,935,Secondary philosopher,"Taoist, numerologist/diviner"
854,CHANG TSAI,,1000,Major philosopher,
855,CHOU TUN-I,,1000,Major philosopher,
856,SHAO YUNG,,1000,Major philosopher,
857,CH'ENG-HAO / CH'ENG-I,,1000,Major philosopher,
858,CHU HSI,,1100,Major philosopher,
859,LU CHIU-YÜAN,,1100,Major philosopher,
921,DIOGENES of Sinope,,-400,Major philosopher,
922,ARISTOTLE,,-400,Major philosopher,
923,THEOPHRASTUS,,-300,Major philosopher,
924,ARCESILAUS,,-300,Major philosopher,"Academic, Skeptic"
925,CHRYSIPPUS,,-300,Major philosopher,Stoic
926,ZENO of Citium,,-300,Major philosopher,
927,EPICURUS,,-300,Major philosopher,
928,PYRRHO,,-400,Major philosopher,
929,Eubulides,,-400,Secondary philosopher,medical
930,Demosthenes,,-400,Non-philosopher,
931,Menedemus of Eretria,,-400,Secondary philosopher,
932,Timon,,-300,Secondary philosopher,
933,Stilpo,,-400,Secondary philosopher,Megarian
934,Diodorus Cronus,,-400,Secondary philosopher,Megarian
935,Theodorus,,-400,Secondary philosopher,Cyrenaic
936,Hegesius,,-400,Secondary philosopher,Cyrenaic
937,Crates,,-400,Secondary philosopher,Cynic
938,Speusippus,,-400,Secondary philosopher,Academic
939,Xenocrates,,-400,Secondary philosopher,Academic
940,Polemon,,-400,Secondary philosopher,Academic
941,Alexander the Great,,-300,Non-philosopher,
943,Heraclides Ponticus,,-400,Secondary philosopher,"Academic, mathematician, rhetorician"
944,Strato,,-300,Secondary philosopher,Aristotelean
945,Ariston of Chios,,-300,Secondary philosopher,Stoic
946,Cleanthes,,-300,Secondary philosopher,Stoic
947,x96,,-400,Non-philosopher,
948,CARNEADES,,-200,Major philosopher,
949,PANAETIUS,,-200,Major philosopher,Stoic
950,POSIDONIUS,,-100,Major philosopher,
951,Scipio,,-200,Non-philosopher,
952,Pompey,,-100,Non-philosopher,
953,Philodemus,,-100,Secondary philosopher,Epicurean
954,Virgil,,-100,Non-philosopher,
955,Lucretius,,-100,Secondary philosopher,Epicurean
956,J. Caesar,,-100,Non-philosopher,
957,Cleopatra,,-100,Non-philosopher,
958,Cicero,,-100,Secondary philosopher,eclectic/Skeptic
959,Augustus Caesar,,1,Non-philosopher,
960,Philo of Larissa,,-100,Secondary philosopher,Academic
961,Antiochus of Ascalon,,-100,Secondary philosopher,Academic
962,Aenesidemus,,-100,Secondary philosopher,skeptic
963,PHILO OF ALEXANDRIA,,1,Major philosopher,
964,Nero,,1,Non-philosopher,
965,Seneca,,1,Secondary philosopher,Stoic/eclectic
966,Epictetus,,1,Secondary philosopher,Stoic/eclectic
967,Moderatus of Gades,,1,Secondary philosopher,Pythagorean/Platonic
968,Plutarch of Chareonea,,100,Secondary philosopher,
969,Taurus,,100,Secondary philosopher,Platonic/Aristotelean
970,Numenius of Apamea,,100,Secondary philosopher,Platonic
971,Herodes Atticus,,100,Secondary philosopher,Platonic/rhetorician
972,Valentinus,,100,Secondary philosopher,Gnostic
973,Justin,,100,Secondary philosopher,Christian/Platonic
974,Clement of Alexandria,,200,Secondary philosopher,Christian/Platonic/eclectic
975,Marcus Aureluis,,100,Secondary philosopher,Stoic/eclectic
976,Galen,,100,Secondary philosopher,medical/Aristotelean/eclectic
977,Apuleius,,100,Secondary philosopher,rhetorician/Platonic/eclectic
709,King Kanisha,,100,Non-philosopher,
710,Ashvagosha,,100,Secondary philosopher,
711,NAGARJUNA,,100,Major philosopher,Madhyamika
712,Aryadeva,,200,Minor philosopher,
713,Maitreyanatha,,300,Secondary philosopher,Yogacara
714,ASANGA,,300,Major philosopher,Yogacara
715,VASUBANDHU I,,400,Major philosopher,Yogacara
717,VASUBANDHU II,,400,Major philosopher,Sarvastivadin/Sautrantika
718,Sanghabhadra,,400,Secondary philosopher,Sarvastivadin
719,VATSYAYANA,,400,Major philosopher,Nyaya
720,Uddyotakara,,500,Secondary philosopher,Nyaya
721,BHARTRIHARI,,500,Major philosopher,grammarian
722,DIGNAGA,,500,Major philosopher,India
723,Sthiramati,,500,Secondary philosopher,"Sarvastivadin, Yogacara"
724,Buddhapalita,,500,Secondary philosopher,Madhyamika
725,Bhavaviveka,,500,Secondary philosopher,Madhyamika
726,Dharmapala,,600,Secondary philosopher,Yogacara/Sarvastivadin
727,DHARMAKIRTI,,600,Major philosopher,India
728,KUMARILA,,600,Major philosopher,
729,PRABHAKARA,,700,Major philosopher,Mimamsa
730,MANDANA,,700,Major philosopher,
731,MISHRA,,700,Major philosopher,"Mimamsa, Advaita"
732,SHANKARA,,700,Major philosopher,Advaita
733,Bhaskara,,700,Secondary philosopher,Bhedabhedavada
734,Sureshvara,,700,Secondary philosopher,Advaita
735,Padmapada,,700,Secondary philosopher,"Advaita, Samkhya"
736,Gaudapada,,500,Secondary philosopher,"Mahayana, Samkhya, Advaita"
737,Dharmottara,,800,Secondary philosopher,"Kashmir, logician"
738,Kamalashila,,700,Secondary philosopher,
739,Shantarakshita,,700,Secondary philosopher,Madhyamika/Yogacara
740,Shang Yang,,-400,Secondary philosopher,politician
741,Shen Pu-hai,,-400,Secondary philosopher,politician
742,x146,,-400,Minor philosopher,
743,x147,,-400,Minor philosopher,
744,x148,,-300,Minor philosopher,
745,ISHVARAKRISHNA,,400,Major philosopher,Samkhya
746,Prashastapada,,500,Secondary philosopher,Vaisheshika
747,Vasumitra,,500,Secondary philosopher,Sarvastivadin
748,Paramartha,,500,Non-philosopher,"China, Yogacara"
749,Siddhasena,,600,Secondary philosopher,"Jaina, logician"
750,Samantabhadra,,600,Secondary philosopher,
751,Jayarasi,,600,Secondary philosopher,Lokayata (materialist)
752,Chandrakirti,,600,Secondary philosopher,Madhyamika
753,HSÜAN-TSANG,,600,Major non-philosopher,"Abhidharma, Yogacara"
754,Shantideva,,700,Secondary philosopher,Madhyamika/Yogacara
755,Padma Sambhava,,800,Non-philosopher,"Vajrayana, Tibet"
756,Jayanta,,800,Secondary philosopher,Nyaya-Vaisheshika Kashmir
757,VACASPATI MISHRA,,900,Major philosopher,"Nyaya, Samkhya, Yoga, Advaita Mithila"
758,Shridhara,,900,Secondary philosopher,"Nyaya-Vaisheshika, Mimamsa, Vedanta"
759,x258,,900,Minor philosopher,Buddhist logician
760,Sarvajñatman,,1000,Secondary philosopher,Advaita
761,Yamuna,,1000,Secondary philosopher,"Vaishnava (Vishnu worship), Vishishtadvaita"
762,RAMANUJA,,1000,Minor philosopher,"Vishistadvaita, qualified nondualism"
763,Nimbarka,,1100,Secondary philosopher,"Vaishnava (Vishnu worship), Vishishtadvaita"
765,SHRI HARSHA,,1100,Major philosopher,Advaita
766,CHITSUKHA,,1200,Major philosopher,Advaita
767,MADHVA,,1200,Major philosopher,"Vaishnava (Vishnu worship), dualist Vedantin"
768,Atreya Ramanuja,,1200,Secondary philosopher,Ramanuja sect
769,Prakashatman,,1200,Secondary philosopher,Advaita
770,Vedanta Deshika,,1300,Secondary philosopher,
771,GANGESHA,,1300,Major philosopher,
772,Jayatirtha,,1300,Secondary philosopher,"Madhava sect, dualist Vedantin"
773,Raghunatha Shiromani,,1500,Secondary philosopher,Neo-Nyaya
774,x258-2,,1000,Minor philosopher,Advaita
775,x258-3,,1200,Minor philosopher,
776,x258-4,,1300,Minor philosopher,
777,x258-5,,1100,Minor philosopher,Nyaya
778,x258-6,,1100,Minor philosopher,Advaita
779,x258-7,,1200,Minor philosopher,Advaita
780,UDAYANA,,1100,Major philosopher,Nyaya-Vaisheshika
781,Ko Hung,,300,Secondary philosopher,
782,Chih-Tun,,300,Secondary philosopher,Buddhist (Taoist syncretist)
783,Fo-t'u-teng,,300,Secondary philosopher,"Buddhist, Pure Land (B faith-salvation)"
784,Tao-An,,300,Secondary philosopher,Pure Land (B faith-salvation)
785,Hui Yuan,,300,Secondary philosopher,Pure Land (B faith-salvation)
786,Tao Sheng,,400,Secondary philosopher,
787,SENG-CHAO,,400,Major philosopher,Madhyamika
788,Kumarajiva,,300,Secondary philosopher,"translator. Madhyamika, Sautrantika school"
789,Buddhasena,,300,Non-philosopher,Kashmir
790,i284,,400,Minor philosopher,Taoist magician or church leader
791,x284,,400,Minor philosopher,Buddhist
792,x284-2,,400,Minor philosopher,Sautrantika
793,x284-3,,300,Minor philosopher,Taoist magician or church leader
794,x284-4,,300,Minor philosopher,Confucian school
795,VASUBANDHU,,500,Non-philosopher,India
796,Bodhidharma,,500,Secondary philosopher,possibly mythical person
797,Sthiramati,,500,Secondary philosopher,India
798,Hui-K'o,,500,Secondary philosopher,Ch'an (Zen)
799,Hui-Ssu,,500,Secondary philosopher,T'ien-t'ai
860,DOGEN,,1200,Major non-philosopher,Japan
861,Yang-Shih,,1100,Secondary philosopher,
862,Ch'en Liang,,1100,Secondary philosopher,
863,Ch'en Ch'un,,1200,Secondary philosopher,Neo-Confucian
864,Yang Chien,,1200,Secondary philosopher,
865,Lu Po-Kung,,1100,Secondary philosopher,
866,Ta-hui,,1100,Secondary philosopher,"Ch'an Lin-chi sect, Hua-yen"
867,Yuan-Wu,,1100,Secondary philosopher,Ch'an Lin-chi sect
868,Ssu-ma Kuang,,1000,Secondary philosopher,
869,Hü Yuan,,1000,Secondary philosopher,
870,Su Shih,,1100,Non-philosopher,"Confucian poet, politician"
871,Wang An-Shih,,1100,Non-philosopher,"politician, poet"
872,i64,,935,Minor philosopher,
873,i64-2,,935,Minor philosopher,
874,i64-3,,1000,Minor philosopher,
875,i64-4,,1000,Minor philosopher,Ch'an Lin-chi sect
876,x64,,1000,Minor philosopher,"Buddhist, Taoist magician or church leader"
877,i64-5,,1000,Minor philosopher,
878,i64-6,,1100,Minor philosopher,
879,x65,,1000,Minor philosopher,"Buddhist, Taoist magician or church leader"
880,x66,,1100,Minor philosopher,"Buddhist, Taoist magician or church leader"
881,i64-7,,1100,Minor philosopher,
882,i64-8,,1100,Minor philosopher,
883,i64-9,,1100,Minor philosopher,
884,i64-10,,1100,Minor philosopher,
885,Solon,,-600,Non-philosopher,
886,Thales,,-600,Secondary philosopher,
887,ANAXIMANDER,,-600,Major philosopher,
888,Pherecydes,,-600,Secondary philosopher,
889,PYTHAGORAS,,-600,Major philosopher,
890,Anaximenes,,-600,Secondary philosopher,
891,Xenophanes,,-600,Secondary philosopher,
892,HERACLITUS,,-500,Major philosopher,
893,PARMENIDES,,-500,Major philosopher,
894,Alcmeon,,-500,Secondary philosopher,"Pythagorean, medical theorist"
895,EMPEDOCLES,,-500,Major philosopher,
896,PROTAGORAS,,-500,Major philosopher,
897,ANAXAGORAS,,-500,Major philosopher,
898,DEMOCRITUS,,-500,Major philosopher,
899,SOCRATES,,-400,Major philosopher,
900,PLATO,,-400,Major philosopher,
901,Zeno of Elea,,-500,Secondary philosopher,
902,Pericles,,-500,Non-philosopher,
903,Leucippus,,-500,Secondary philosopher,
904,Hippias of Elis,,-500,Secondary philosopher,
905,Prodicus,,-500,Secondary philosopher,
906,Archelaus,,-500,Secondary philosopher,
907,Diogenes of Apollonia,,-500,Secondary philosopher,
908,Antiphon,,-400,Secondary philosopher,
909,Euclides of Megara,,-400,Secondary philosopher,
910,Phaedo,,-400,Secondary philosopher,
911,Aristippus,,-400,Secondary philosopher,
912,Antisthenes,,-400,Secondary philosopher,
913,Archytas,,-400,Secondary philosopher,Pythagorean
914,Eudoxus,,-400,Secondary philosopher,"Academic, mathematician"
915,Isocrates,,-400,Secondary philosopher,rhetorician
916,Hippocrates of Cos,,-400,Secondary philosopher,
917,Philolaus,,-500,Secondary philosopher,Pythagorean
918,Gorgias,,-500,Secondary philosopher,
919,x88,,-500,Minor philosopher,
920,x88-2,,-500,Minor philosopher,
978,Albinus,,100,Secondary philosopher,Platonic/eclectic
979,Alexander of Aphrodisias,,100,Secondary philosopher,Aristotelean/mathematician
980,Sextus Empiricus,,200,Secondary philosopher,Skeptic/medical
981,x36,,1,Minor philosopher,Stoic
982,x36-2,,1,Minor philosopher,Stoic
983,x36-3,,100,Minor philosopher,
984,Origen,,200,Secondary philosopher,
985,PLOTINUS,,200,Major philosopher,
986,PORPHYRY,,200,Major philosopher,
987,IAMBLICHUS,,300,Major philosopher,
988,AUGUSTINE,,400,Major philosopher,
989,Pelagius,,400,Non-philosopher,heresy
990,St. Jerome,,400,Non-philosopher,
991,St. Gregory Nazianzen,,300,Secondary philosopher,
992,St. Gregory of Nyssa,,400,Secondary philosopher,
993,St. Ambrose,,300,Non-philosopher,
994,Emp. Julian,,300,Non-philosopher,
995,Arius,,300,Secondary philosopher,Christian
996,Marius Victorinus,,300,Secondary philosopher,Neoplatonic/rhetorician/Christian
997,x124,,200,Minor philosopher,
998,PROCLUS,,400,Major philosopher,Neoplatonic/occultist/mathemetician
999,Boethius,,500,Secondary philosopher,Platonic/Aristotelean
1000,John Philoponus,,500,Secondary philosopher,Christian/Stoic
1001,Pope Gregory the Great,,500,Non-philosopher,
1002,GR1 Alcman,cosmological poet,-600,Minor philosopher,
1003,GR2 Pittacus,"one of the ""Seven"" or ""Ten Sages""",-600,Non-philosopher,
1004,GR3 Cleobulus,same,-600,Non-philosopher,
1005,GR4 Periander,same,-600,Non-philosopher,
1006,GR5 Mysonsame,,-600,Non-philosopher,
1007,GR6 Epimenides,same,-600,Non-philosopher,
1008,GR7 Anacharsis,same,-600,Non-philosopher,
1009,GR8 Biassame,,-600,Non-philosopher,
1010,GR9 Chilonsame,,-600,Non-philosopher,
1011,GR10 Democedes of Croton,medicine,-600,Minor philosopher,medical
1012,GR11 Ameinas,Pythagorean,-600,Minor philosopher,Pythagorean
